"","date","TankID","lab","TankDesig","tankVolL","FlowRateL.s","TankOverturnHours","TankOverturnDays","Temp","Fish_pres","N_spp","AC_pres","PC_pres","WP_pres","AC_biomass","PC_biomass","WP_biomass","Tot_biomass","AC_Fbiomass","PC_Fbiomass","WP_Fbiomass","AC_age","PC_age","WP_age","AC_N","PC_N","WP_N","TankTime","DaysSinceAC","DaysSincePC","DaysSinceWP"
"16","4/24/2023","10","Arena","T2",7500,0.3,6.944444444,0.289351852,4.9,1,2,0,1,1,0,5843.6,650,6493.6,0,0.899901441,0.100098559,NA,7,7,NA,2,1,"3 days",50,0,0
"17","3/31/2023","47","Arena","T1 Age 4 AC (with a visitor)",7500,0.3,6.944444444,0.289351852,3.4,1,2,1,0,1,4080,0,650,4730,0.862579281,0,0.137420719,4,NA,7,48,NA,1,"4 days",0,10,0
"18","5/1/2023","46","Arena","T2",7500,0.3,6.944444444,0.289351852,4.9,1,3,1,1,1,425,3531.6,650,4606.6,0.092258933,0.76663917,0.141101897,4,7,7,5,1,1,"3 days",0,0,0
"19","4/28/2023","97","Arena","T2",7500,0.3,6.944444444,0.289351852,4.8,1,2,0,1,1,0,3531.6,650,4181.6,0,0.844557107,0.155442893,NA,7,7,NA,2,1,"4 days",50,0,0
"20","4/14/2023","39","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,680,2000,1300,3980,0.170854271,0.502512563,0.326633166,4,2,7,8,4,2,"4 days",0,0,0
"21","2/1/2023","34","Pole Barn","Age 7 WP Kodiak",7500,0.2,10.41666667,0.434027778,3.8,1,1,0,0,1,0,0,3900,3900,0,0,1,NA,NA,7,NA,NA,6,">four years",50,50,0
"22","4/10/2023","45","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,2000,1300,3385,0.025110783,0.59084195,0.384047267,4,2,7,1,4,2,"3 days",0,0,0
"23","3/24/2023","40","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4.1,1,3,1,1,1,1360,500,650,2510,0.541832669,0.199203187,0.258964143,4,2,7,16,1,1,"4 days",0,0,0
"24","3/20/2023","17","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,1360,0,650,2010,0.676616915,0,0.323383085,4,NA,7,16,NA,1,"3 days",0,50,0
"25","4/17/2023","58","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4,1,2,1,0,1,680,0,1300,1980,0.343434343,0,0.656565657,4,NA,7,8,NA,2,"3 days",0,3,0
"26","4/7/2023","2","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,500,1300,1885,0.045092838,0.265251989,0.689655172,4,2,7,1,1,2,"4 days",0,0,0
"27","5/8/2023","79","Arena","T2",7500,0.3,6.944444444,0.289351852,3.9,1,2,1,1,0,255,3531.6,0,3786.6,0.067342735,0.932657265,0,4,7,NA,3,1,NA,"3 days",0,0,7
"28","5/12/2023","91","Arena","T2",7500,0.3,6.944444444,0.289351852,4.8,1,2,1,1,0,85,3531.6,0,3616.6,0.023502737,0.976497263,0,4,7,NA,1,1,NA,"4 days",0,0,11
"29","3/27/2023","11","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,3.9,1,3,1,1,1,680,500,650,1830,0.371584699,0.273224044,0.355191257,4,2,7,8,1,1,"3 days",0,0,0
"30","4/3/2023","65","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,1300,1800,0,0.277777778,0.722222222,NA,2,7,NA,1,2,"3 days",7,0,0
"31","4/21/2023","92","Arena","T3",7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,1300,1385,0.061371841,0,0.938628159,4,NA,7,1,NA,2,"4 days",0,7,0
"32","3/17/2023","41","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,680,0,650,1330,0.511278195,0,0.488721805,4,NA,7,8,NA,1,"3 days",0,50,0
"33","3/31/2023","55","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,650,1150,0,0.434782609,0.565217391,NA,2,7,NA,1,1,"4 days",4,0,0
"34","5/1/2023","96","Arena","T3",7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,245,650,895,0,0.273743017,0.726256983,NA,1,7,NA,8,1,"3 days",10,0,0
"35","4/28/2023","93","Arena","T3",7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,122.4,650,772.4,0,0.158467115,0.841532885,NA,1,7,NA,4,1,"4 days",7,0,0
"36","3/14/2023","76","Arena","T3  eDNA tank ",7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,650,735,0.115646259,0,0.884353741,4,NA,7,1,NA,1,"5 days",0,50,0
"37","5/15/2023","42","Arena","T2",7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,3531.6,0,3531.6,0,1,0,NA,7,NA,NA,1,NA,"3 days",3,0,14
"38","5/8/2023","18","Arena","T3",7500,0.3,6.944444444,0.289351852,4.9,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"3 days",17,7,3
"39","12/6/2022","43","Arena","T6",7500,0.1,20.83333333,0.868055556,5.4,1,1,0,1,0,0,1600,0,1600,0,1,0,NA,0,NA,NA,196,NA,"2 weeks",50,0,50
"40","6/1/2023","80","Arena","T2",7500,0.3,6.944444444,0.289351852,5.5,1,2,1,1,0,626,644,0,1270,0.492913386,0.507086614,0,4,2,NA,6,1,NA,"3 days",0,0,31
"41","5/30/2023","62","Arena","T2",7500,0.3,6.944444444,0.289351852,5.5,1,2,1,1,0,313,644,0,957,0.327063741,0.672936259,0,4,2,NA,3,1,NA,"4 days",0,0,28
"42","5/26/2023","83","Arena","T2",7500,0.3,6.944444444,0.289351852,5.3,1,1,0,1,0,0,644,0,644,0,1,0,NA,2,NA,NA,1,NA,"4 days",13,0,24
"43","5/12/2023","71","Arena","T3",7500,0.3,6.944444444,0.289351852,5.1,1,2,1,1,0,340,53,0,393,0.865139949,0.134860051,0,4,1,NA,4,1,NA,"4 days",0,0,7
"44","5/17/2023","50","Arena","T2",7500,0.3,6.944444444,0.289351852,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"1 day",4,1,15
"45","5/18/2023","94","Arena","T2",7500,0.3,6.944444444,0.289351852,5.2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"2 days",5,2,16
"46","5/22/2023","70","Arena","T3",7500,0.3,6.944444444,0.289351852,5,1,2,1,1,0,85,159,0,244,0.348360656,0.651639344,0,4,1,NA,1,3,NA,"3 days",0,0,17
"47","5/19/2023","51","Arena","T2",7500,0.3,6.944444444,0.289351852,4.8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"3 days",6,3,17
"48","5/22/2023","54","Arena","T2",7500,0.3,6.944444444,0.289351852,4.6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"6 days",9,6,20
"49","5/15/2023","9","Arena","T3",7500,0.3,6.944444444,0.289351852,5.4,1,2,1,1,0,170,53,0,223,0.762331839,0.237668161,0,4,1,NA,2,1,NA,"3 days",0,0,10
"50","5/26/2023","33","Arena","T3",7500,0.3,6.944444444,0.289351852,4.8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"4 days",4,4,21
"51","5/19/2023","38","Arena","T3",7500,0.3,6.944444444,0.289351852,5.2,1,2,1,1,0,85,53,0,138,0.615942029,0.384057971,0,4,1,NA,1,1,NA,"4 days",0,0,14
"52","1/23/2023","72","Arctic Lab","T14",50,0.5,0.027777778,0.001157407,9,1,1,0,1,0,0,112,0,112,0,1,0,NA,0,NA,NA,10,NA,"3 weeks",50,0,50
"53","1/23/2023","98","Arctic Lab","T4",50,0.5,0.027777778,0.001157407,16,1,1,0,1,0,0,101,0,101,0,1,0,NA,0,NA,NA,10,NA,"3 weeks",50,0,50
"54","4/24/2023","64","Arena","T3",7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,61.2,650,711.2,0,0.086051744,0.913948256,NA,1,7,NA,2,1,"3 days",3,0,0
"55","1/23/2023","32","Arctic Lab","T7",50,0.5,0.027777778,0.001157407,5,1,1,0,1,0,0,95,0,95,0,1,0,NA,0,NA,NA,10,NA,"3 weeks",50,0,50
"56","1/23/2023","24","Arctic Lab","T11",50,0.5,0.027777778,0.001157407,0,1,1,0,1,0,0,94,0,94,0,1,0,NA,0,NA,NA,10,NA,"3 weeks",50,0,50
"57","5/5/2023","49","Arena","T3",7500,0.3,6.944444444,0.289351852,4.8,1,1,0,0,1,0,0,650,650,0,0,1,NA,NA,7,NA,NA,1,"4 days",14,4,0
