qPCR_plate,Well_Position,extraction_ID
20240213_3,C10,20000c
20240213_3,D10,2000c
20240213_3,E10,200c
20240213_3,F10,20c
20240213_3,G10,e02182
20240213_3,H10,NTC
20240213_3,A11,2000000c
20240213_3,B11,200000c
20240213_3,C11,20000c
20240213_3,D11,2000c
20240213_3,E11,200c
20240213_3,F11,20c
20240213_3,G11,e02182
20240213_3,H11,NTC
20240213_3,A12,2000000c
20240213_3,B12,200000c
20240213_3,C12,20000c
20240213_3,D12,2000c
20240213_3,E12,200c
20240213_3,F12,20c
20240213_3,G12,e02182
20240213_3,H12,NTC
