sampleID,date,groupID,lab,TankDesig,tankVolL,FlowRateL/s,TankOverturnHours,TankOverturnDays,Temp,Fish_pres,N_spp,AC_pres,PC_pres,WP_pres,AC_biomass,PC_biomass,WP_biomass,Tot_biomass,AC_Fbiomass,PC_Fbiomass,WP_Fbiomass,AC_age,PC_age,WP_age,AC_N,PC_N,WP_N,TankTime,DaysSinceAC,DaysSincePC,DaysSinceWP
14,7/25/2023,22,Arena,T1 ,7500,0.3,6.944444444,0.289351852,6.3,1,1,1,0,0,7000,0,0,7000,1,0,0,4,NA,NA,70,NA,NA,present in tank for years; over a week in this temp range,0,50,50
395,1/23/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,7/25/2023,78,Pole Barn,Age 7 WP Port Townsend,15000,0.5,8.333333333,0.347222222,10.6,1,1,0,0,1,0,0,27560,27560,0,0,1,NA,NA,7,NA,NA,26,present in tank for years; over a week in this temp range,50,50,0
42,7/25/2023,78,Pole Barn,Age 7 WP Port Townsend,15000,0.5,8.333333333,0.347222222,10.6,1,1,0,0,1,0,0,27560,27560,0,0,1,NA,NA,7,NA,NA,26,present in tank for years; over a week in this temp range,50,50,0
254,7/25/2023,78,Pole Barn,Age 7 WP Port Townsend,15000,0.5,8.333333333,0.347222222,10.6,1,1,0,0,1,0,0,27560,27560,0,0,1,NA,NA,7,NA,NA,26,present in tank for years; over a week in this temp range,50,50,0
199,2/1/2023,7,Pole Barn,Age 7 WP Port Townsend,15000,0.2,20.83333333,0.868055556,3.8,1,1,0,0,1,0,0,17550,17550,0,0,1,NA,NA,7,NA,NA,27,>four years,50,50,0
443,2/1/2023,7,Pole Barn,Age 7 WP Port Townsend,15000,0.2,20.83333333,0.868055556,3.8,1,1,0,0,1,0,0,17550,17550,0,0,1,NA,NA,7,NA,NA,27,>four years,50,50,0
366,2/1/2023,7,Pole Barn,Age 7 WP Port Townsend,15000,0.2,20.83333333,0.868055556,3.8,1,1,0,0,1,0,0,17550,17550,0,0,1,NA,NA,7,NA,NA,27,>four years,50,50,0
127,4/21/2023,73,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,5843.6,0,5843.6,0,1,0,NA,7,NA,NA,2,NA,3 days,50,0,50
77,4/21/2023,73,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,5843.6,0,5843.6,0,1,0,NA,7,NA,NA,2,NA,3 days,50,0,50
490,4/21/2023,73,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,5843.6,0,5843.6,0,1,0,NA,7,NA,NA,2,NA,3 days,50,0,50
141,3/17/2023,86,Arena,T1 Age 4 AC (with a visitor),7500,0.3,6.944444444,0.289351852,3,1,2,1,1,0,4080,500,0,4580,0.890829694,0.109170306,0,4,2,NA,48,1,NA,3 days,0,0,50
462,3/17/2023,86,Arena,T1 Age 4 AC (with a visitor),7500,0.3,6.944444444,0.289351852,3,1,2,1,1,0,4080,500,0,4580,0.890829694,0.109170306,0,4,2,NA,48,1,NA,3 days,0,0,50
370,3/17/2023,86,Arena,T1 Age 4 AC (with a visitor),7500,0.3,6.944444444,0.289351852,3,1,2,1,1,0,4080,500,0,4580,0.890829694,0.109170306,0,4,2,NA,48,1,NA,3 days,0,0,50
241,2/1/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,3/8/2023,3,Arena,T1 Age 4 AC,7500,0.2,10.41666667,0.434027778,3,1,1,1,0,0,4080,0,0,4080,1,0,0,4,NA,NA,48,NA,NA,>three years,0,50,50
226,3/8/2023,3,Arena,T1 Age 4 AC,7500,0.2,10.41666667,0.434027778,3,1,1,1,0,0,4080,0,0,4080,1,0,0,4,NA,NA,48,NA,NA,>three years,0,50,50
62,3/8/2023,3,Arena,T1 Age 4 AC,7500,0.2,10.41666667,0.434027778,3,1,1,1,0,0,4080,0,0,4080,1,0,0,4,NA,NA,48,NA,NA,>three years,0,50,50
178,3/8/2023,59,Arena,T3  eDNA tank - empty ,7500,0.2,10.41666667,0.434027778,4.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,emptied out juvenile p cod 12 weeks prior,50,50,50
385,3/8/2023,59,Arena,T3  eDNA tank - empty ,7500,0.2,10.41666667,0.434027778,4.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,emptied out juvenile p cod 12 weeks prior,50,50,50
284,3/8/2023,59,Arena,T3  eDNA tank - empty ,7500,0.2,10.41666667,0.434027778,4.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,emptied out juvenile p cod 12 weeks prior,50,50,50
430,3/8/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,4/14/2023,89,Pole Barn,T1 10',7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,4 days,50,0,0
398,4/14/2023,89,Pole Barn,T1 10',7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,4 days,50,0,0
492,4/14/2023,89,Pole Barn,T1 10',7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,4 days,50,0,0
452,3/14/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,4/17/2023,30,Pole Barn,T1 10',7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,7 days,50,0,0
437,4/17/2023,30,Pole Barn,T1 10',7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,7 days,50,0,0
270,4/17/2023,30,Pole Barn,T1 10',7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,7 days,50,0,0
92,5/5/2023,56,Arena,T2,7500,0.3,6.944444444,0.289351852,5.1,1,2,1,1,0,425,3531.6,0,3956.6,0.107415458,0.892584542,0,4,7,NA,5,1,NA,4 days,0,0,4
322,5/5/2023,56,Arena,T2,7500,0.3,6.944444444,0.289351852,5.1,1,2,1,1,0,425,3531.6,0,3956.6,0.107415458,0.892584542,0,4,7,NA,5,1,NA,4 days,0,0,4
365,5/5/2023,56,Arena,T2,7500,0.3,6.944444444,0.289351852,5.1,1,2,1,1,0,425,3531.6,0,3956.6,0.107415458,0.892584542,0,4,7,NA,5,1,NA,4 days,0,0,4
52,3/17/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,7/25/2023,14,Pole Barn,Age 7 WP Kodiak,7500,0.4,5.208333333,0.217013889,9.9,1,1,0,0,1,0,0,7500,7500,0,0,1,NA,NA,7,NA,NA,6,present in tank for years; over a week in this temp range,50,50,0
272,7/25/2023,14,Pole Barn,Age 7 WP Kodiak,7500,0.4,5.208333333,0.217013889,9.9,1,1,0,0,1,0,0,7500,7500,0,0,1,NA,NA,7,NA,NA,6,present in tank for years; over a week in this temp range,50,50,0
150,7/25/2023,14,Pole Barn,Age 7 WP Kodiak,7500,0.4,5.208333333,0.217013889,9.9,1,1,0,0,1,0,0,7500,7500,0,0,1,NA,NA,7,NA,NA,6,present in tank for years; over a week in this temp range,50,50,0
229,3/20/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,4/24/2023,10,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,2,0,1,1,0,5843.6,650,6493.6,0,0.899901441,0.100098559,NA,7,7,NA,2,1,3 days,50,0,0
335,4/24/2023,10,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,2,0,1,1,0,5843.6,650,6493.6,0,0.899901441,0.100098559,NA,7,7,NA,2,1,3 days,50,0,0
171,4/24/2023,10,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,2,0,1,1,0,5843.6,650,6493.6,0,0.899901441,0.100098559,NA,7,7,NA,2,1,3 days,50,0,0
194,3/24/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,3/31/2023,47,Arena,T1 Age 4 AC (with a visitor),7500,0.3,6.944444444,0.289351852,3.4,1,2,1,0,1,4080,0,650,4730,0.862579281,0,0.137420719,4,NA,7,48,NA,1,4 days,0,10,0
273,3/31/2023,47,Arena,T1 Age 4 AC (with a visitor),7500,0.3,6.944444444,0.289351852,3.4,1,2,1,0,1,4080,0,650,4730,0.862579281,0,0.137420719,4,NA,7,48,NA,1,4 days,0,10,0
275,3/31/2023,47,Arena,T1 Age 4 AC (with a visitor),7500,0.3,6.944444444,0.289351852,3.4,1,2,1,0,1,4080,0,650,4730,0.862579281,0,0.137420719,4,NA,7,48,NA,1,4 days,0,10,0
118,3/27/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,5/1/2023,46,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,3,1,1,1,425,3531.6,650,4606.6,0.092258933,0.76663917,0.141101897,4,7,7,5,1,1,3 days,0,0,0
473,5/1/2023,46,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,3,1,1,1,425,3531.6,650,4606.6,0.092258933,0.76663917,0.141101897,4,7,7,5,1,1,3 days,0,0,0
239,5/1/2023,46,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,3,1,1,1,425,3531.6,650,4606.6,0.092258933,0.76663917,0.141101897,4,7,7,5,1,1,3 days,0,0,0
387,4/28/2023,97,Arena,T2,7500,0.3,6.944444444,0.289351852,4.8,1,2,0,1,1,0,3531.6,650,4181.6,0,0.844557107,0.155442893,NA,7,7,NA,2,1,4 days,50,0,0
246,4/28/2023,97,Arena,T2,7500,0.3,6.944444444,0.289351852,4.8,1,2,0,1,1,0,3531.6,650,4181.6,0,0.844557107,0.155442893,NA,7,7,NA,2,1,4 days,50,0,0
357,4/28/2023,97,Arena,T2,7500,0.3,6.944444444,0.289351852,4.8,1,2,0,1,1,0,3531.6,650,4181.6,0,0.844557107,0.155442893,NA,7,7,NA,2,1,4 days,50,0,0
294,3/31/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,4/14/2023,39,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,680,2000,1300,3980,0.170854271,0.502512563,0.326633166,4,2,7,8,4,2,4 days,0,0,0
8,4/14/2023,39,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,680,2000,1300,3980,0.170854271,0.502512563,0.326633166,4,2,7,8,4,2,4 days,0,0,0
360,4/14/2023,39,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,680,2000,1300,3980,0.170854271,0.502512563,0.326633166,4,2,7,8,4,2,4 days,0,0,0
244,4/3/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2/1/2023,34,Pole Barn,Age 7 WP Kodiak,7500,0.2,10.41666667,0.434027778,3.8,1,1,0,0,1,0,0,3900,3900,0,0,1,NA,NA,7,NA,NA,6,>four years,50,50,0
181,2/1/2023,34,Pole Barn,Age 7 WP Kodiak,7500,0.2,10.41666667,0.434027778,3.8,1,1,0,0,1,0,0,3900,3900,0,0,1,NA,NA,7,NA,NA,6,>four years,50,50,0
420,2/1/2023,34,Pole Barn,Age 7 WP Kodiak,7500,0.2,10.41666667,0.434027778,3.8,1,1,0,0,1,0,0,3900,3900,0,0,1,NA,NA,7,NA,NA,6,>four years,50,50,0
328,4/7/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,4/10/2023,45,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,2000,1300,3385,0.025110783,0.59084195,0.384047267,4,2,7,1,4,2,3 days,0,0,0
189,4/10/2023,45,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,2000,1300,3385,0.025110783,0.59084195,0.384047267,4,2,7,1,4,2,3 days,0,0,0
350,4/10/2023,45,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,2000,1300,3385,0.025110783,0.59084195,0.384047267,4,2,7,1,4,2,3 days,0,0,0
457,4/10/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,3/24/2023,40,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,3,1,1,1,1360,500,650,2510,0.541832669,0.199203187,0.258964143,4,2,7,16,1,1,4 days,0,0,0
220,3/24/2023,40,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,3,1,1,1,1360,500,650,2510,0.541832669,0.199203187,0.258964143,4,2,7,16,1,1,4 days,0,0,0
213,3/24/2023,40,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,3,1,1,1,1360,500,650,2510,0.541832669,0.199203187,0.258964143,4,2,7,16,1,1,4 days,0,0,0
491,3/20/2023,17,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,1360,0,650,2010,0.676616915,0,0.323383085,4,NA,7,16,NA,1,3 days,0,50,0
408,3/20/2023,17,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,1360,0,650,2010,0.676616915,0,0.323383085,4,NA,7,16,NA,1,3 days,0,50,0
481,3/20/2023,17,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,1360,0,650,2010,0.676616915,0,0.323383085,4,NA,7,16,NA,1,3 days,0,50,0
15,4/14/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,4/17/2023,58,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,1,0,1,680,0,1300,1980,0.343434343,0,0.656565657,4,NA,7,8,NA,2,3 days,0,3,0
151,4/17/2023,58,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,1,0,1,680,0,1300,1980,0.343434343,0,0.656565657,4,NA,7,8,NA,2,3 days,0,3,0
485,4/17/2023,58,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,1,0,1,680,0,1300,1980,0.343434343,0,0.656565657,4,NA,7,8,NA,2,3 days,0,3,0
446,4/7/2023,2,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,500,1300,1885,0.045092838,0.265251989,0.689655172,4,2,7,1,1,2,4 days,0,0,0
435,4/7/2023,2,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,500,1300,1885,0.045092838,0.265251989,0.689655172,4,2,7,1,1,2,4 days,0,0,0
393,4/7/2023,2,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,3,1,1,1,85,500,1300,1885,0.045092838,0.265251989,0.689655172,4,2,7,1,1,2,4 days,0,0,0
281,5/8/2023,79,Arena,T2,7500,0.3,6.944444444,0.289351852,3.9,1,2,1,1,0,255,3531.6,0,3786.6,0.067342735,0.932657265,0,4,7,NA,3,1,NA,3 days,0,0,7
216,5/8/2023,79,Arena,T2,7500,0.3,6.944444444,0.289351852,3.9,1,2,1,1,0,255,3531.6,0,3786.6,0.067342735,0.932657265,0,4,7,NA,3,1,NA,3 days,0,0,7
202,5/8/2023,79,Arena,T2,7500,0.3,6.944444444,0.289351852,3.9,1,2,1,1,0,255,3531.6,0,3786.6,0.067342735,0.932657265,0,4,7,NA,3,1,NA,3 days,0,0,7
456,4/17/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,5/12/2023,91,Arena,T2,7500,0.3,6.944444444,0.289351852,4.8,1,2,1,1,0,85,3531.6,0,3616.6,0.023502737,0.976497263,0,4,7,NA,1,1,NA,4 days,0,0,11
82,5/12/2023,91,Arena,T2,7500,0.3,6.944444444,0.289351852,4.8,1,2,1,1,0,85,3531.6,0,3616.6,0.023502737,0.976497263,0,4,7,NA,1,1,NA,4 days,0,0,11
16,5/12/2023,91,Arena,T2,7500,0.3,6.944444444,0.289351852,4.8,1,2,1,1,0,85,3531.6,0,3616.6,0.023502737,0.976497263,0,4,7,NA,1,1,NA,4 days,0,0,11
413,3/27/2023,11,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,3.9,1,3,1,1,1,680,500,650,1830,0.371584699,0.273224044,0.355191257,4,2,7,8,1,1,3 days,0,0,0
377,3/27/2023,11,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,3.9,1,3,1,1,1,680,500,650,1830,0.371584699,0.273224044,0.355191257,4,2,7,8,1,1,3 days,0,0,0
495,3/27/2023,11,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,3.9,1,3,1,1,1,680,500,650,1830,0.371584699,0.273224044,0.355191257,4,2,7,8,1,1,3 days,0,0,0
175,4/21/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,4/3/2023,65,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,1300,1800,0,0.277777778,0.722222222,NA,2,7,NA,1,2,3 days,7,0,0
269,4/3/2023,65,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,1300,1800,0,0.277777778,0.722222222,NA,2,7,NA,1,2,3 days,7,0,0
70,4/3/2023,65,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,1300,1800,0,0.277777778,0.722222222,NA,2,7,NA,1,2,3 days,7,0,0
405,4/21/2023,92,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,1300,1385,0.061371841,0,0.938628159,4,NA,7,1,NA,2,4 days,0,7,0
105,4/21/2023,92,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,1300,1385,0.061371841,0,0.938628159,4,NA,7,1,NA,2,4 days,0,7,0
131,4/21/2023,92,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,1300,1385,0.061371841,0,0.938628159,4,NA,7,1,NA,2,4 days,0,7,0
176,4/24/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,3/17/2023,41,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,680,0,650,1330,0.511278195,0,0.488721805,4,NA,7,8,NA,1,3 days,0,50,0
391,3/17/2023,41,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,680,0,650,1330,0.511278195,0,0.488721805,4,NA,7,8,NA,1,3 days,0,50,0
417,3/17/2023,41,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,680,0,650,1330,0.511278195,0,0.488721805,4,NA,7,8,NA,1,3 days,0,50,0
299,3/31/2023,55,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,650,1150,0,0.434782609,0.565217391,NA,2,7,NA,1,1,4 days,4,0,0
224,3/31/2023,55,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,650,1150,0,0.434782609,0.565217391,NA,2,7,NA,1,1,4 days,4,0,0
375,3/31/2023,55,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4,1,2,0,1,1,0,500,650,1150,0,0.434782609,0.565217391,NA,2,7,NA,1,1,4 days,4,0,0
494,4/28/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,5/1/2023,96,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,245,650,895,0,0.273743017,0.726256983,NA,1,7,NA,8,1,3 days,10,0,0
440,5/1/2023,96,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,245,650,895,0,0.273743017,0.726256983,NA,1,7,NA,8,1,3 days,10,0,0
111,5/1/2023,96,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,245,650,895,0,0.273743017,0.726256983,NA,1,7,NA,8,1,3 days,10,0,0
54,4/28/2023,93,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,122.4,650,772.4,0,0.158467115,0.841532885,NA,1,7,NA,4,1,4 days,7,0,0
238,4/28/2023,93,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,122.4,650,772.4,0,0.158467115,0.841532885,NA,1,7,NA,4,1,4 days,7,0,0
386,4/28/2023,93,Arena,T3,7500,0.3,6.944444444,0.289351852,4.1,1,2,0,1,1,0,122.4,650,772.4,0,0.158467115,0.841532885,NA,1,7,NA,4,1,4 days,7,0,0
396,5/1/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,3/14/2023,76,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,650,735,0.115646259,0,0.884353741,4,NA,7,1,NA,1,5 days,0,50,0
154,3/14/2023,76,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,650,735,0.115646259,0,0.884353741,4,NA,7,1,NA,1,5 days,0,50,0
406,3/14/2023,76,Arena,T3  eDNA tank ,7500,0.3,6.944444444,0.289351852,4.1,1,2,1,0,1,85,0,650,735,0.115646259,0,0.884353741,4,NA,7,1,NA,1,5 days,0,50,0
84,5/15/2023,42,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,3531.6,0,3531.6,0,1,0,NA,7,NA,NA,1,NA,3 days,3,0,14
47,5/15/2023,42,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,3531.6,0,3531.6,0,1,0,NA,7,NA,NA,1,NA,3 days,3,0,14
31,5/15/2023,42,Arena,T2,7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,3531.6,0,3531.6,0,1,0,NA,7,NA,NA,1,NA,3 days,3,0,14
55,5/5/2023,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,5/8/2023,18,Arena,T3,7500,0.3,6.944444444,0.289351852,4.9,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3 days,17,7,3
