Plate,Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Y-Intercept,R(superscript 2),Slope,Amp Score,Cq Conf,Amp Status,HIGHSD
20240213_1,24,B12,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,23.65,23.34,0.72,200000.00,,,TRUE,0.121,TRUE,3,19,,39.755,0.982,-3.068,1.396,0.996,Amp,N
20240213_1,24,B12,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,30.26,29.94,0.38,,,,TRUE,0.251,TRUE,3,24,,,,,1.348,0.96,Amp,N
20240213_1,25,C1,FALSE,Sample 3,GACH,UNKNOWN,CY5,NFQ-MGB,34.80,34.55,0.52,41.19,52.70,22.23,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.292,0.984,Amp,N
20240213_1,25,C1,FALSE,Sample 3,MOA,UNKNOWN,VIC,NFQ-MGB,30.10,29.82,0.25,,,,TRUE,0.251,TRUE,3,25,,,,,1.395,0.955,Amp,N
20240213_1,26,C2,FALSE,Sample 3,GACH,UNKNOWN,CY5,NFQ-MGB,34.89,34.55,0.52,38.58,52.70,22.23,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.326,0.99,Amp,N
20240213_1,26,C2,FALSE,Sample 3,MOA,UNKNOWN,VIC,NFQ-MGB,29.72,29.82,0.25,,,,TRUE,0.251,TRUE,3,23,,,,,1.407,0.966,Amp,N
20240213_1,27,C3,FALSE,Sample 3,GACH,UNKNOWN,CY5,NFQ-MGB,33.95,34.55,0.52,78.32,52.70,22.23,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.223,0.977,Amp,N
20240213_1,27,C3,FALSE,Sample 3,MOA,UNKNOWN,VIC,NFQ-MGB,29.63,29.82,0.25,,,,TRUE,0.251,TRUE,3,24,,,,,1.365,0.939,Amp,N
20240213_1,28,C4,FALSE,Sample 11,GACH,UNKNOWN,CY5,NFQ-MGB,30.90,30.98,0.08,767.89,727.42,43.14,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.443,0.995,Amp,N
20240213_1,28,C4,FALSE,Sample 11,MOA,UNKNOWN,VIC,NFQ-MGB,29.38,29.47,0.09,,,,TRUE,0.251,TRUE,3,24,,,,,1.401,0.969,Amp,N
20240213_1,29,C5,FALSE,Sample 11,GACH,UNKNOWN,CY5,NFQ-MGB,31.06,30.98,0.08,682.04,727.42,43.14,TRUE,0.121,TRUE,3,26,,39.755,0.982,-3.068,1.44,0.994,Amp,N
20240213_1,29,C5,FALSE,Sample 11,MOA,UNKNOWN,VIC,NFQ-MGB,29.47,29.47,0.09,,,,TRUE,0.251,TRUE,3,24,,,,,1.4,0.966,Amp,N
20240213_1,30,C6,FALSE,Sample 11,GACH,UNKNOWN,CY5,NFQ-MGB,30.97,30.98,0.08,732.34,727.42,43.14,TRUE,0.121,TRUE,3,26,,39.755,0.982,-3.068,1.444,0.995,Amp,N
20240213_1,30,C6,FALSE,Sample 11,MOA,UNKNOWN,VIC,NFQ-MGB,29.56,29.47,0.09,,,,TRUE,0.251,TRUE,3,24,,,,,1.397,0.966,Amp,N
20240213_1,31,C7,FALSE,Sample 19,GACH,UNKNOWN,CY5,NFQ-MGB,33.13,33.31,0.23,144.05,127.67,20.74,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.446,0.991,Amp,N
20240213_1,31,C7,FALSE,Sample 19,MOA,UNKNOWN,VIC,NFQ-MGB,29.36,29.57,0.20,,,,TRUE,0.251,TRUE,3,24,,,,,1.418,0.965,Amp,N
20240213_1,32,C8,FALSE,Sample 19,GACH,UNKNOWN,CY5,NFQ-MGB,33.22,33.31,0.23,134.61,127.67,20.74,TRUE,0.121,TRUE,3,29,,39.755,0.982,-3.068,1.348,0.981,Amp,N
20240213_1,32,C8,FALSE,Sample 19,MOA,UNKNOWN,VIC,NFQ-MGB,29.76,29.57,0.20,,,,TRUE,0.251,TRUE,3,24,,,,,1.396,0.952,Amp,N
20240213_1,33,C9,FALSE,Sample 19,GACH,UNKNOWN,CY5,NFQ-MGB,33.56,33.31,0.23,104.35,127.67,20.74,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.424,0.992,Amp,N
20240213_1,33,C9,FALSE,Sample 19,MOA,UNKNOWN,VIC,NFQ-MGB,29.59,29.57,0.20,,,,TRUE,0.251,TRUE,3,23,,,,,1.406,0.967,Amp,N
20240213_1,34,C10,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,25.72,26.28,0.75,20000.00,,,TRUE,0.121,TRUE,3,21,,39.755,0.982,-3.068,1.449,0.996,Amp,N
20240213_1,34,C10,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.18,29.49,0.39,,,,TRUE,0.251,TRUE,3,23,,,,,1.399,0.964,Amp,N
20240213_1,35,C11,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,25.99,26.28,0.75,20000.00,,,TRUE,0.121,TRUE,3,21,,39.755,0.982,-3.068,1.433,0.996,Amp,N
20240213_1,35,C11,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.36,29.49,0.39,,,,TRUE,0.251,TRUE,3,23,,,,,1.39,0.963,Amp,N
20240213_1,36,C12,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,27.13,26.28,0.75,20000.00,,,TRUE,0.121,TRUE,3,22,,39.755,0.982,-3.068,1.415,0.994,Amp,N
20240213_1,36,C12,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.93,29.49,0.39,,,,TRUE,0.251,TRUE,3,24,,,,,1.372,0.966,Amp,N
20240213_1,37,D1,FALSE,Sample 4,GACH,UNKNOWN,CY5,NFQ-MGB,35.45,34.75,0.82,25.37,48.93,31.53,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.292,0.983,Amp,N
20240213_1,37,D1,FALSE,Sample 4,MOA,UNKNOWN,VIC,NFQ-MGB,30.25,29.83,0.38,,,,TRUE,0.251,TRUE,3,25,,,,,1.406,0.965,Amp,N
20240213_1,38,D2,FALSE,Sample 4,GACH,UNKNOWN,CY5,NFQ-MGB,33.84,34.75,0.82,84.75,48.93,31.53,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.406,0.987,Amp,N
20240213_1,38,D2,FALSE,Sample 4,MOA,UNKNOWN,VIC,NFQ-MGB,29.51,29.83,0.38,,,,TRUE,0.251,TRUE,3,24,,,,,1.413,0.958,Amp,N
20240213_1,39,D3,FALSE,Sample 4,GACH,UNKNOWN,CY5,NFQ-MGB,34.96,34.75,0.82,36.67,48.93,31.53,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.296,0.989,Amp,N
20240213_1,39,D3,FALSE,Sample 4,MOA,UNKNOWN,VIC,NFQ-MGB,29.72,29.83,0.38,,,,TRUE,0.251,TRUE,3,24,,,,,1.396,0.957,Amp,N
20240213_1,40,D4,FALSE,Sample 12,GACH,UNKNOWN,CY5,NFQ-MGB,31.60,31.62,0.07,455.00,449.38,24.52,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.454,0.993,Amp,N
20240213_1,40,D4,FALSE,Sample 12,MOA,UNKNOWN,VIC,NFQ-MGB,29.32,29.45,0.12,,,,TRUE,0.251,TRUE,3,23,,,,,1.407,0.967,Amp,N
20240213_1,41,D5,FALSE,Sample 12,GACH,UNKNOWN,CY5,NFQ-MGB,31.70,31.62,0.07,422.53,449.38,24.52,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.449,0.993,Amp,N
20240213_1,41,D5,FALSE,Sample 12,MOA,UNKNOWN,VIC,NFQ-MGB,29.49,29.45,0.12,,,,TRUE,0.251,TRUE,3,24,,,,,1.404,0.961,Amp,N
20240213_1,42,D6,FALSE,Sample 12,GACH,UNKNOWN,CY5,NFQ-MGB,31.56,31.62,0.07,470.60,449.38,24.52,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.363,0.99,Amp,N
20240213_1,42,D6,FALSE,Sample 12,MOA,UNKNOWN,VIC,NFQ-MGB,29.54,29.45,0.12,,,,TRUE,0.251,TRUE,3,24,,,,,1.381,0.949,Amp,N
20240213_1,43,D7,FALSE,Sample 20,GACH,UNKNOWN,CY5,NFQ-MGB,33.07,33.15,0.10,150.99,142.96,10.38,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.423,0.99,Amp,N
20240213_1,43,D7,FALSE,Sample 20,MOA,UNKNOWN,VIC,NFQ-MGB,29.72,29.52,0.20,,,,TRUE,0.251,TRUE,3,24,,,,,1.401,0.96,Amp,N
20240213_1,44,D8,FALSE,Sample 20,GACH,UNKNOWN,CY5,NFQ-MGB,33.11,33.15,0.10,146.65,142.96,10.38,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.418,0.989,Amp,N
20240213_1,44,D8,FALSE,Sample 20,MOA,UNKNOWN,VIC,NFQ-MGB,29.51,29.52,0.20,,,,TRUE,0.251,TRUE,3,24,,,,,1.402,0.959,Amp,N
20240213_1,45,D9,FALSE,Sample 20,GACH,UNKNOWN,CY5,NFQ-MGB,33.26,33.15,0.10,131.25,142.96,10.38,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.422,0.991,Amp,N
20240213_1,45,D9,FALSE,Sample 20,MOA,UNKNOWN,VIC,NFQ-MGB,29.32,29.52,0.20,,,,TRUE,0.251,TRUE,3,23,,,,,1.412,0.961,Amp,N
20240213_1,46,D10,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,29.15,29.52,0.40,2000.00,,,TRUE,0.121,TRUE,3,24,,39.755,0.982,-3.068,1.444,0.995,Amp,N
20240213_1,46,D10,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.01,29.38,0.43,,,,TRUE,0.251,TRUE,3,23,,,,,1.413,0.964,Amp,N
20240213_1,47,D11,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,29.48,29.52,0.40,2000.00,,,TRUE,0.121,TRUE,3,24,,39.755,0.982,-3.068,1.444,0.995,Amp,N
20240213_1,47,D11,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.26,29.38,0.43,,,,TRUE,0.251,TRUE,3,23,,,,,1.407,0.965,Amp,N
20240213_1,48,D12,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,29.94,29.52,0.40,2000.00,,,TRUE,0.121,TRUE,3,25,,39.755,0.982,-3.068,1.43,0.995,Amp,N
20240213_1,48,D12,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.86,29.38,0.43,,,,TRUE,0.251,TRUE,3,24,,,,,1.394,0.964,Amp,N
20240213_1,49,E1,FALSE,Sample 5,GACH,UNKNOWN,CY5,NFQ-MGB,34.68,34.33,0.36,45.07,59.89,16.02,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.372,0.991,Amp,N
20240213_1,49,E1,FALSE,Sample 5,MOA,UNKNOWN,VIC,NFQ-MGB,30.41,29.88,0.46,,,,TRUE,0.251,TRUE,3,24,,,,,1.403,0.966,Amp,N
20240213_1,50,E2,FALSE,Sample 5,GACH,UNKNOWN,CY5,NFQ-MGB,34.35,34.33,0.36,57.72,59.89,16.02,TRUE,0.121,TRUE,3,29,,39.755,0.982,-3.068,1.382,0.988,Amp,N
20240213_1,50,E2,FALSE,Sample 5,MOA,UNKNOWN,VIC,NFQ-MGB,29.64,29.88,0.46,,,,TRUE,0.251,TRUE,3,24,,,,,1.405,0.967,Amp,N
20240213_1,51,E3,FALSE,Sample 5,GACH,UNKNOWN,CY5,NFQ-MGB,33.97,34.33,0.36,76.88,59.89,16.02,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.404,0.989,Amp,N
20240213_1,51,E3,FALSE,Sample 5,MOA,UNKNOWN,VIC,NFQ-MGB,29.58,29.88,0.46,,,,TRUE,0.251,TRUE,3,23,,,,,1.398,0.968,Amp,N
20240213_1,52,E4,FALSE,Sample 13,GACH,UNKNOWN,CY5,NFQ-MGB,31.71,31.84,0.13,419.55,382.57,36.62,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.454,0.992,Amp,N
20240213_1,52,E4,FALSE,Sample 13,MOA,UNKNOWN,VIC,NFQ-MGB,29.22,29.36,0.13,,,,TRUE,0.251,TRUE,3,23,,,,,1.412,0.966,Amp,N
20240213_1,53,E5,FALSE,Sample 13,GACH,UNKNOWN,CY5,NFQ-MGB,31.97,31.84,0.13,346.32,382.57,36.62,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.391,0.993,Amp,N
20240213_1,53,E5,FALSE,Sample 13,MOA,UNKNOWN,VIC,NFQ-MGB,29.40,29.36,0.13,,,,TRUE,0.251,TRUE,3,23,,,,,1.388,0.947,Amp,N
20240213_1,54,E6,FALSE,Sample 13,GACH,UNKNOWN,CY5,NFQ-MGB,31.84,31.84,0.13,381.83,382.57,36.62,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.441,0.994,Amp,N
20240213_1,54,E6,FALSE,Sample 13,MOA,UNKNOWN,VIC,NFQ-MGB,29.47,29.36,0.13,,,,TRUE,0.251,TRUE,3,23,,,,,1.407,0.961,Amp,N
20240213_1,55,E7,FALSE,Sample 21,GACH,UNKNOWN,CY5,NFQ-MGB,30.08,29.70,0.57,1430.49,2026.59,930.44,TRUE,0.121,TRUE,3,25,,39.755,0.982,-3.068,1.457,0.994,Amp,N
20240213_1,55,E7,FALSE,Sample 21,MOA,UNKNOWN,VIC,NFQ-MGB,29.66,29.54,0.13,,,,TRUE,0.251,TRUE,3,24,,,,,1.403,0.966,Amp,N
20240213_1,56,E8,FALSE,Sample 21,GACH,UNKNOWN,CY5,NFQ-MGB,29.97,29.70,0.57,1550.54,2026.59,930.44,TRUE,0.121,TRUE,3,25,,39.755,0.982,-3.068,1.454,0.995,Amp,N
20240213_1,56,E8,FALSE,Sample 21,MOA,UNKNOWN,VIC,NFQ-MGB,29.54,29.54,0.13,,,,TRUE,0.251,TRUE,3,24,,,,,1.401,0.965,Amp,N
20240213_1,57,E9,FALSE,Sample 21,GACH,UNKNOWN,CY5,NFQ-MGB,29.05,29.70,0.57,3098.73,2026.59,930.44,TRUE,0.121,TRUE,3,24,,39.755,0.982,-3.068,1.44,0.99,Amp,N
20240213_1,57,E9,FALSE,Sample 21,MOA,UNKNOWN,VIC,NFQ-MGB,29.41,29.54,0.13,,,,TRUE,0.251,TRUE,3,24,,,,,1.381,0.948,Amp,N
20240213_1,58,E10,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,31.89,32.47,0.82,200.00,,,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.443,0.992,Amp,N
20240213_1,58,E10,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.03,29.24,0.30,,,,TRUE,0.251,TRUE,3,23,,,,,1.412,0.962,Amp,N
20240213_1,59,E11,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,33.05,32.47,0.82,200.00,,,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.424,0.991,Amp,N
20240213_1,59,E11,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.45,29.24,0.30,,,,TRUE,0.251,TRUE,3,24,,,,,1.409,0.966,Amp,N
20240213_1,62,F2,FALSE,Sample 6,GACH,UNKNOWN,CY5,NFQ-MGB,35.12,34.88,0.34,32.45,39.56,10.06,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.307,0.984,Amp,N
20240213_1,62,F2,FALSE,Sample 6,MOA,UNKNOWN,VIC,NFQ-MGB,29.75,29.58,0.25,,,,TRUE,0.251,TRUE,3,24,,,,,1.405,0.966,Amp,N
20240213_1,63,F3,FALSE,Sample 6,GACH,UNKNOWN,CY5,NFQ-MGB,34.64,34.88,0.34,46.67,39.56,10.06,TRUE,0.121,TRUE,3,29,,39.755,0.982,-3.068,1.371,0.981,Amp,N
20240213_1,63,F3,FALSE,Sample 6,MOA,UNKNOWN,VIC,NFQ-MGB,29.40,29.58,0.25,,,,TRUE,0.251,TRUE,3,24,,,,,1.406,0.961,Amp,N
20240213_1,64,F4,FALSE,Sample 14,GACH,UNKNOWN,CY5,NFQ-MGB,32.08,31.94,0.37,318.27,361.20,105.02,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.439,0.994,Amp,N
20240213_1,64,F4,FALSE,Sample 14,MOA,UNKNOWN,VIC,NFQ-MGB,29.37,29.37,0.08,,,,TRUE,0.251,TRUE,3,23,,,,,1.404,0.968,Amp,N
20240213_1,65,F5,FALSE,Sample 14,GACH,UNKNOWN,CY5,NFQ-MGB,31.53,31.94,0.37,480.88,361.20,105.02,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.449,0.993,Amp,N
20240213_1,65,F5,FALSE,Sample 14,MOA,UNKNOWN,VIC,NFQ-MGB,29.28,29.37,0.08,,,,TRUE,0.251,TRUE,3,23,,,,,1.407,0.96,Amp,N
20240213_1,66,F6,FALSE,Sample 14,GACH,UNKNOWN,CY5,NFQ-MGB,32.23,31.94,0.37,284.45,361.20,105.02,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.437,0.993,Amp,N
20240213_1,66,F6,FALSE,Sample 14,MOA,UNKNOWN,VIC,NFQ-MGB,29.45,29.37,0.08,,,,TRUE,0.251,TRUE,3,24,,,,,1.413,0.964,Amp,N
20240213_1,67,F7,FALSE,Sample 22,GACH,UNKNOWN,CY5,NFQ-MGB,32.48,32.75,0.42,235.07,198.19,56.21,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.444,0.993,Amp,N
20240213_1,67,F7,FALSE,Sample 22,MOA,UNKNOWN,VIC,NFQ-MGB,29.41,29.50,0.11,,,,TRUE,0.251,TRUE,3,24,,,,,1.408,0.965,Amp,N
20240213_1,68,F8,FALSE,Sample 22,GACH,UNKNOWN,CY5,NFQ-MGB,33.24,32.75,0.42,133.50,198.19,56.21,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.437,0.992,Amp,N
20240213_1,68,F8,FALSE,Sample 22,MOA,UNKNOWN,VIC,NFQ-MGB,29.62,29.50,0.11,,,,TRUE,0.251,TRUE,3,24,,,,,1.405,0.966,Amp,N
20240213_1,69,F9,FALSE,Sample 22,GACH,UNKNOWN,CY5,NFQ-MGB,32.53,32.75,0.42,226.00,198.19,56.21,TRUE,0.121,TRUE,3,28,,39.755,0.982,-3.068,1.429,0.993,Amp,N
